,id,Project,PathRow,User,MinRMSE,ChangeProb,NoiseProb,ConsecChange,Coef,LocationCCDC
0,1,Vietnam,125053,bullocke,,,,4,8,/landsat/projects/Vietnam/p125r053/images
1,2,CMS_Mexico,20048,bullocke,.005,.99,.99,5,8,/projectnb/landsat/projects/CMS_Mexico/images/020048/images
2,3,CMS_Mexico,34039,bullocke,.005,.99,.99,6,8,/projectnb/landsat/projects/CMS_Mexico/images/034039/images
3,4,Guangzhou,122044,Yingchun Fu,,,,6,,projectnb/landsat/users/fuyc/p122r044
4,5,Acre,5066,Shixiong Wang,,,,,,/projectnb/landsat/proojects/ACRE/stacks/p005r066/images
5,6,Acre,4066,Shixiong Wang,,,,,,/projectnb/landsat/projects/ACRE/stacks/p004r066/images
6,7,Acre,3067,Shixiong Wang,,,,,,/projectnb/landsat/projects/ACRE/stacks/p003067/images
7,8,Acre,2067,Shixiong Wang,,,,,,/projectnb/landsat/projects/ACRE/stacks/p002067/images
8,9,LCMS,45030,Zhe Zhu,.005,.99,.999999,6,8,/projectnb/landsat/projects/LCMS/4530/images/
9,10,LCMS,27027,Zhe Zhu,.005,.99,.999999,6,8,/projectnb/landsat/projects/LCMS/2727/images/
10,11,LCMS,12028,Zhe Zhu,.005,.99,.999999,6,8,/projectnb/landsat/projects/LCMS/1228/images
11,12,LCMS,14032,Zhe Zhu,.005,.99,.999999,6,8,/projectnb/landsat/projects/LCMS/1432/images
12,13,LCMS,16037,Zhe Zhu,.005,.99,.999999,6,8,/projectnb/landsat/projects/LCMS/1637/images
13,14,LCMS,35032,Zhe Zhu,.005,.99,.999999,6,8,/projectnb/landsat/projects/LCMS/3532/images
