,id,Project,PathRow,User,MinRMSE,ChangeProb,NoiseProb,ConsecChange,Coef,LocationCCDC
0,1,Vietnam,125053,bullocke,,,,4,8,/landsat/projects/Vietnam/p125r053/images
1,2,CMS_Mexico,20048,bullocke,.005,.99,.99,5,8,/projectnb/landsat/projects/CMS_Mexico/images/020048/images
2,3,CMS_Mexico,34039,bullocke,.005,.99,.99,6,8,/projectnb/landsat/projects/CMS_Mexico/images/034039/images
3,4,Guangzhou,122044,Yingchun Fu,,,,6,,projectnb/landsat/users/fuyc/p122r044
4,5,Acre,5066,Shixiong Wang,,,,,,/projectnb/landsat/proojects/ACRE/stacks/p005r066/images
5,6,Acre,4066,Shixiong Wang,,,,,,/projectnb/landsat/projects/ACRE/stacks/p004r066/images
6,7,Acre,3067,Shixiong Wang,,,,,,/projectnb/landsat/projects/ACRE/stacks/p003067/images
7,8,Acre,2067,Shixiong Wang,,,,,,/projectnb/landsat/projects/ACRE/stacks/p002067/images
8,9,LCMS,45030,Zhe Zhu,.005,.99,.999999,6,8,/projectnb/landsat/projects/LCMS/4530/images/
9,10,LCMS,27027,Zhe Zhu,.005,.99,.999999,6,8,/projectnb/landsat/projects/LCMS/2727/images/
10,11,LCMS,12028,Zhe Zhu,.005,.99,.999999,6,8,/projectnb/landsat/projects/LCMS/1228/images
11,12,LCMS,14032,Zhe Zhu,.005,.99,.999999,6,8,/projectnb/landsat/projects/LCMS/1432/images
12,13,LCMS,16037,Zhe Zhu,.005,.99,.999999,6,8,/projectnb/landsat/projects/LCMS/1637/images
13,14,LCMS,35032,Zhe Zhu,.005,.99,.999999,6,8,/projectnb/landsat/projects/LCMS/3532/images
14,15,Cambodia Deforestation,125050,xjtang,1,2.0,,6,8,/projectnb/landsat/projects/cambodia/data/p125r050/
15,16,Cambodia Deforestation,125051,xjtang,1,2.0,,6,8,/projectnb/landsat/projects/cambodia/data/p125r051/
16,17,Cambodia Deforestation,125052,xjtang,1,2.0,,6,8,/projectnb/landsat/projects/cambodia/data/p125r052/
17,18,Cambodia Deforestation,126050,xjtang,1,2.0,,6,8,/projectnb/landsat/projects/cambodia/data/p126r050
18,19,Cambodia Deforestation,126051,xjtang,1,2.0,,6,8,/projectnb/landsat/projects/cambodia/data/p126r051/
19,20,Cambodia Deforestation,126052,xjtang,1,2.0,,6,8,/projectnb/landsat/projects/cambodia/data/p126r052/
20,21,Cambodia Deforestation,127050,xjtang,1,2.0,,6,8,/projectnb/landsat/projects/cambodia/data/p127r050/
21,22,Cambodia Deforestation,127051,xjtang,1,2.0,,6,8,/projectnb/landsat/projects/cambodia/data/p127r051/
22,23,Cambodia Deforestation,127052,xjtang,1,2.0,,6,8,/projectnb/landsat/projects/cambodia/data/p127r052/
23,24,IDS,11031,CeHolden,,,,3,,/projectnb/landsat/projects/IDS/ceholden/p011r031
24,25,IDS,12029,CeHolden,,,,3,,/projectnb/landsat/projects/IDS/ceholden/p012r029
25,26,IDS,12030,Ceholden,,,,3,,/projectnb/landsat/projects/IDS/ceholden/p012r030
26,27,IDS,13029,Ceholden,,,,3,,/projectnb/landsat/projects/IDS/ceholden/p013r029
27,28,IDS,13030,ceholden,,,,3,,/projectnb/landsat/projects/IDS/ceholden/p013r030
28,29,IDS,13031,ceholden,,,,3,,R/projectnb/landsat/projects/IDS/ceholden/p013r031
29,30,USGS,16041,ceholden,,,,6,8,/projectnb/landsat/projects/USGS_SITES/p016r041
30,31,USGS,23037,ceholden,,,,6,8,/projectnb/landsat/projects/USGS_SITES/p023r037
31,32,USGS,34032,ceholden,,,,5,8,/projectnb/landsat/projects/USGS_SITES/p034r032/
32,33,USGS,39026,ceholden,,,,5,8,/projectnb/landsat/projects/USGS_SITES/p039r026
33,34,USGS,43034,ceholden,,,,5,8,/projectnb/landsat/projects/USGS_SITES/p043r034/
